candidate,layer,proj,fp_parity_rel,A_only_nmse,W_only_nmse,AW_nmse,interaction_nmse,AW_cosine,AW_sqnr_db,max_abs_err_AW,verdict,n_rows
R1DC,1,K,3.4283616514585447e-06,0.003402487840503454,0.0035512156318873167,0.007037059869617224,8.335639722645283e-05,0.996504008769989,21.526087540836194,8.436723709106445,mixed,8000
R1DC,1,V,2.5995545911428053e-06,0.01610936038196087,0.017530879005789757,0.03406671807169914,0.00042647868394851685,0.9834203124046326,14.676697035910731,6.65597677230835,mixed,8000
R1DC,2,K,3.557488071237458e-06,0.005899603478610516,0.006145008374005556,0.012180689722299576,0.0001360778696835041,0.9939684271812439,19.14328119411854,8.804492950439453,mixed,8000
R1DC,2,V,2.6207842438452644e-06,0.013742133975028992,0.015023651532828808,0.0291155818849802,0.0003497963771224022,0.9857434034347534,15.358745259437029,8.593008995056152,mixed,8000
R1DC,3,K,2.8394749733706703e-06,0.006236367393285036,0.006768320221453905,0.013147160410881042,0.0001424727961421013,0.9934940338134766,18.811680381288937,8.643367767333984,mixed,8000
R1DC,3,V,4.149024789512623e-06,0.01795889437198639,0.019196532666683197,0.037624992430210114,0.00046956539154052734,0.9817079305648804,14.24523578774002,11.044513702392578,mixed,8000
R1DC,4,K,3.12848328576365e-06,0.006269788835197687,0.0068139852955937386,0.013234522193670273,0.00015074806287884712,0.9934395551681519,18.782917334255885,9.053775787353516,mixed,8000
R1DC,4,V,2.710210537770763e-06,0.022220982238650322,0.02479136548936367,0.047516077756881714,0.0005037300288677216,0.9770405888557434,13.231594156456644,11.63534164428711,mixed,8000
none,0,K,0.0,0.3126109838485718,0.009060877375304699,0.3200739920139313,-0.0015978692099452019,0.8258371353149414,4.947496135276013,210.7655029296875,activation_driven,8000
none,0,V,0.0,0.5648837089538574,0.01782912015914917,0.5787215232849121,-0.003991305828094482,0.6506409645080566,2.375303654504382,27.93014144897461,activation_driven,8000
none,1,K,0.0,0.15864837169647217,0.004306393209844828,0.16180914640426636,-0.0011456185020506382,0.9165805578231812,7.909969331524669,54.33563995361328,activation_driven,8000
none,1,V,0.0,0.5781017541885376,0.02046540193259716,0.5955209136009216,-0.003046242520213127,0.6359891891479492,2.2510298228869,47.21734619140625,activation_driven,8000
none,2,K,0.0,0.2766694724559784,0.00716553907841444,0.28285104036331177,-0.0009839711710810661,0.8482809662818909,5.484422195284349,60.89072799682617,activation_driven,8000
none,2,V,0.0,0.5574396848678589,0.015100679360330105,0.5698696970939636,-0.0026706671342253685,0.6581466197967529,2.442244360859584,40.892616271972656,activation_driven,8000
none,3,K,0.0,0.2946905195713043,0.007193682715296745,0.3003914952278137,-0.0014927070587873459,0.8386889696121216,5.2231236736665965,59.99908447265625,activation_driven,8000
none,3,V,0.0,0.5711694359779358,0.01903126761317253,0.5866224765777588,-0.003578227013349533,0.6432877779006958,2.316413009417535,52.63215255737305,activation_driven,8000
none,4,K,0.0,0.2970113456249237,0.0074031539261341095,0.3026360869407654,-0.0017784126102924347,0.8380146026611328,5.190792870702542,49.3773078918457,activation_driven,8000
none,4,V,0.0,0.6355213522911072,0.022923707962036133,0.6537572741508484,-0.004687786102294922,0.5953172445297241,1.8458346584015901,55.68688201904297,activation_driven,8000
R1_D,0,K,3.193887778252247e-06,0.021190959960222244,0.007926031947135925,0.02965007908642292,0.0005330871790647507,0.9854484796524048,15.279741438932678,17.984516143798828,mixed,8000
R1_D,0,V,3.932362233172171e-06,0.040006816387176514,0.01503797248005867,0.05606229975819588,0.0010175108909606934,0.9731399416923523,12.513290908103322,8.681869506835938,mixed,8000
R1_D,1,K,4.2854521780100185e-06,0.010101844556629658,0.0035669959615916014,0.013931519351899624,0.00026267883367836475,0.9931367635726929,18.560015174479805,12.677490234375,mixed,8000
R1_D,1,V,2.2427529984270222e-06,0.04784306883811951,0.01700725220143795,0.06604617089033127,0.0011958498507738113,0.9685631990432739,11.801523560873788,10.455540657043457,mixed,8000
R1_D,2,K,2.9296961656655185e-06,0.01750994846224785,0.006344688590615988,0.024295302107930183,0.0004406650550663471,0.9880879521369934,16.14477696189727,12.447635650634766,mixed,8000
R1_D,2,V,3.234159066778375e-06,0.040816400200128555,0.014439975842833519,0.05625651776790619,0.0010001417249441147,0.9730560183525085,12.49827153809417,11.841232299804688,mixed,8000
R1_D,3,K,3.6705407637782628e-06,0.01850798912346363,0.00654244190081954,0.025518149137496948,0.00046771811321377754,0.9874210953712463,15.931508287174164,14.924327850341797,mixed,8000
R1_D,3,V,2.7942412543779938e-06,0.05338483676314354,0.018964549526572227,0.0736464187502861,0.0012970324605703354,0.9650954008102417,11.328483670128524,17.347497940063477,mixed,8000
R1_D,4,K,2.727395667534438e-06,0.01859617605805397,0.006771345157176256,0.025833236053586006,0.00046571483835577965,0.9873440265655518,15.878211876251074,13.733818054199219,mixed,8000
R1_D,4,V,2.932358938778634e-06,0.0658983364701271,0.02421524003148079,0.09173217415809631,0.0016185976564884186,0.9570703506469727,10.374783130913967,17.976158142089844,mixed,8000
R1_T_currentRC,0,K,3.569639375200495e-06,0.005502748768776655,0.007697906345129013,0.01334117166697979,0.00014051655307412148,0.9933778643608093,18.74806027528998,12.415831565856934,mixed,8000
R1_T_currentRC,0,V,3.3705962323438143e-06,0.010373597033321857,0.014650934375822544,0.025269757956266403,0.00024522654712200165,0.9875943064689636,15.973989179044349,5.580618858337402,mixed,8000
R1_T_currentRC,1,K,3.4283616514585447e-06,0.0026172292418777943,0.0036550634540617466,0.0063400352373719215,6.774254143238068e-05,0.9968448281288147,21.979083283400882,8.414052963256836,mixed,8000
R1_T_currentRC,1,V,2.5485828700766433e-06,0.012412771582603455,0.017372483387589455,0.030064137652516365,0.0002788826823234558,0.9853019714355469,15.219512487659212,6.038668632507324,mixed,8000
R1_T_currentRC,2,K,2.8599413326446665e-06,0.004529391415417194,0.006453145761042833,0.011099342256784439,0.00011680508032441139,0.9944831132888794,19.547027565928694,7.9553375244140625,mixed,8000
