cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T4_D16,101,2.6122,"[1, 3, 1, 2, 1, 2, 1, 4, 3, 2, 3, 6, 1, 2, 3, 1, 1, 1, 3, 2, 6, 4, 5, 4, 4, 1, 1, 2, 2, 3, 2, 5, 4, 1, 3, 4, 3, 1, 2, 2, 2, 4, 2, 1, 4, 4, 5, 3, 1]","[0, 2, 0, 1, 0, 1, 0, 3, 2, 1, 2, 5, 0, 1, 2, 0, 0, 0, 2, 1, 5, 3, 4, 3, 3, 0, 0, 1, 1, 2, 1, 4, 3, 0, 2, 3, 2, 0, 1, 1, 1, 3, 1, 0, 3, 3, 4, 2, 0]","[1, 3, 1, 2, 1, 2, 1, 4, 3, 2, 3, 5, 1, 2, 3, 1, 1, 1, 3, 2, 5, 4, 5, 4, 4, 1, 1, 2, 2, 3, 2, 5, 4, 1, 3, 4, 3, 1, 2, 2, 2, 4, 2, 1, 4, 4, 5, 3, 1]",128,49,26,False,4
T4_D16,102,2.3704,"[1, 1, 3, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 1, 3, 4, 4, 1, 2, 1, 3, 3, 1, 2, 4, 5, 3, 3, 2, 4, 3, 4, 4, 3, 4, 2, 1, 3, 4, 2, 4, 1, 1, 4, 2, 1, 1, 1, 1, 4, 1, 2, 2, 1]","[0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 1, 2, 1, 0, 2, 3, 3, 0, 1, 0, 2, 2, 0, 1, 3, 4, 2, 2, 1, 3, 2, 3, 3, 2, 3, 1, 0, 2, 3, 1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 3, 0, 1, 1, 0]","[1, 1, 3, 2, 3, 1, 2, 3, 1, 2, 2, 3, 2, 1, 3, 4, 4, 1, 2, 1, 3, 3, 1, 2, 4, 5, 3, 3, 2, 4, 3, 4, 4, 3, 4, 2, 1, 3, 4, 2, 4, 1, 1, 4, 2, 1, 1, 1, 1, 4, 1, 2, 2, 1]",128,54,26,False,5
T4_D16,103,2.7826,"[2, 5, 3, 3, 2, 2, 6, 4, 2, 2, 2, 6, 3, 4, 6, 2, 5, 1, 4, 3, 5, 1, 3, 5, 1, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 1, 1, 2, 3, 1, 1, 4, 3, 1, 2, 1]","[1, 4, 2, 2, 1, 1, 5, 3, 1, 1, 1, 5, 2, 3, 5, 1, 4, 0, 3, 2, 4, 0, 2, 4, 0, 1, 2, 2, 1, 2, 1, 1, 2, 3, 1, 0, 0, 1, 2, 0, 0, 3, 2, 0, 1, 0]","[2, 5, 3, 3, 2, 2, 5, 4, 2, 2, 2, 5, 3, 4, 5, 2, 5, 1, 4, 3, 5, 1, 3, 5, 1, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 1, 1, 2, 3, 1, 1, 4, 3, 1, 2, 1]",128,46,26,False,7
T4_D16,104,3.3704,"[3, 1, 4, 1, 2, 2, 5, 3, 3, 2, 4, 6, 4, 2, 3, 5, 4, 3, 3, 6, 2, 3, 4, 4, 5, 6, 1]","[2, 0, 3, 0, 1, 1, 4, 2, 2, 1, 3, 5, 3, 1, 2, 4, 3, 2, 2, 5, 1, 2, 3, 3, 4, 5, 0]","[3, 1, 4, 1, 2, 2, 5, 3, 3, 2, 4, 5, 4, 2, 3, 5, 4, 3, 3, 5, 2, 3, 4, 4, 5, 5, 1]",91,27,26,False,9
T4_D16,105,3.8235,"[1, 2, 3, 5, 3, 3, 4, 4, 4, 3, 3, 2, 4, 4, 2, 4, 5, 6, 1, 5, 4, 2, 4, 4, 6, 3, 6, 6, 6, 4, 2, 6, 3, 6]","[0, 1, 2, 4, 2, 2, 3, 3, 3, 2, 2, 1, 3, 3, 1, 3, 4, 5, 0, 4, 3, 1, 3, 3, 5, 2, 5, 5, 5, 3, 1, 5, 2, 5]","[1, 2, 3, 5, 3, 3, 4, 4, 4, 3, 3, 2, 4, 4, 2, 4, 5, 5, 1, 5, 4, 2, 4, 4, 5, 3, 5, 5, 5, 4, 2, 5, 3, 5]",128,34,26,False,1
T4_D16,106,3.119,"[3, 4, 5, 5, 4, 4, 4, 3, 4, 3, 3, 3, 3, 2, 4, 4, 1, 2, 1, 1, 2, 1, 5, 3, 4, 3, 4, 1, 2, 2, 3, 3, 4, 4, 2, 3, 3, 3, 5, 4, 3, 4]","[2, 3, 4, 4, 3, 3, 3, 2, 3, 2, 2, 2, 2, 1, 3, 3, 0, 1, 0, 0, 1, 0, 4, 2, 3, 2, 3, 0, 1, 1, 2, 2, 3, 3, 1, 2, 2, 2, 4, 3, 2, 3]","[3, 4, 5, 5, 4, 4, 4, 3, 4, 3, 3, 3, 3, 2, 4, 4, 1, 2, 1, 1, 2, 1, 5, 3, 4, 3, 4, 1, 2, 2, 3, 3, 4, 4, 2, 3, 3, 3, 5, 4, 3, 4]",128,42,26,False,10
T4_D16,107,2.9545,"[1, 1, 5, 3, 6, 6, 1, 3, 3, 3, 1, 2, 3, 4, 1, 4, 4, 1, 4, 2, 1, 3, 3, 4, 5, 2, 4, 3, 6, 2, 3, 5, 2, 1, 4, 2, 2, 4, 2, 4, 4, 1, 2, 3]","[0, 0, 4, 2, 5, 5, 0, 2, 2, 2, 0, 1, 2, 3, 0, 3, 3, 0, 3, 1, 0, 2, 2, 3, 4, 1, 3, 2, 5, 1, 2, 4, 1, 0, 3, 1, 1, 3, 1, 3, 3, 0, 1, 2]","[1, 1, 5, 3, 5, 5, 1, 3, 3, 3, 1, 2, 3, 4, 1, 4, 4, 1, 4, 2, 1, 3, 3, 4, 5, 2, 4, 3, 5, 2, 3, 5, 2, 1, 4, 2, 2, 4, 2, 4, 4, 1, 2, 3]",128,44,26,False,2
T4_D16,108,3.2692,"[2, 2, 6, 2, 3, 3, 4, 4, 4, 2, 2, 2, 1, 3, 5, 3, 4, 4, 1, 4, 3, 4, 3, 4, 6, 4]","[1, 1, 5, 1, 2, 2, 3, 3, 3, 1, 1, 1, 0, 2, 4, 2, 3, 3, 0, 3, 2, 3, 2, 3, 5, 3]","[2, 2, 5, 2, 3, 3, 4, 4, 4, 2, 2, 2, 1, 3, 5, 3, 4, 4, 1, 4, 3, 4, 3, 4, 5, 4]",85,26,26,False,1
T4_D16,109,2.9545,"[1, 2, 4, 6, 2, 4, 4, 3, 4, 4, 3, 2, 3, 2, 3, 1, 1, 3, 6, 5, 2, 1, 1, 2, 2, 5, 3, 3, 4, 2, 4, 3, 5, 4, 2, 3, 1, 3, 4, 4, 2, 3, 1, 3]","[0, 1, 3, 5, 1, 3, 3, 2, 3, 3, 2, 1, 2, 1, 2, 0, 0, 2, 5, 4, 1, 0, 0, 1, 1, 4, 2, 2, 3, 1, 3, 2, 4, 3, 1, 2, 0, 2, 3, 3, 1, 2, 0, 2]","[1, 2, 4, 5, 2, 4, 4, 3, 4, 4, 3, 2, 3, 2, 3, 1, 1, 3, 5, 5, 2, 1, 1, 2, 2, 5, 3, 3, 4, 2, 4, 3, 5, 4, 2, 3, 1, 3, 4, 4, 2, 3, 1, 3]",128,44,26,False,4
T4_D16,110,3.7143,"[1, 2, 4, 5, 4, 4, 3, 3, 6, 4, 3, 6, 3, 4, 4, 2, 2, 4, 6, 3, 4, 4, 6, 6, 6, 4, 1, 4, 4, 3, 3, 2, 4, 3, 3]","[0, 1, 3, 4, 3, 3, 2, 2, 5, 3, 2, 5, 2, 3, 3, 1, 1, 3, 5, 2, 3, 3, 5, 5, 5, 3, 0, 3, 3, 2, 2, 1, 3, 2, 2]","[1, 2, 4, 5, 4, 4, 3, 3, 5, 4, 3, 5, 3, 4, 4, 2, 2, 4, 5, 3, 4, 4, 5, 5, 5, 4, 1, 4, 4, 3, 3, 2, 4, 3, 3]",128,35,26,False,1
T4_D16,111,4.0625,"[1, 1, 5, 6, 2, 4, 6, 6, 4, 2, 2, 3, 2, 4, 3, 4, 3, 6, 4, 4, 4, 2, 6, 6, 5, 4, 5, 4, 6, 6, 5, 5]","[0, 0, 4, 5, 1, 3, 5, 5, 3, 1, 1, 2, 1, 3, 2, 3, 2, 5, 3, 3, 3, 1, 5, 5, 4, 3, 4, 3, 5, 5, 4, 4]","[1, 1, 5, 5, 2, 4, 5, 5, 4, 2, 2, 3, 2, 4, 3, 4, 3, 5, 4, 4, 4, 2, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5]",128,32,26,False,7
T4_D16,112,4.0625,"[1, 1, 2, 3, 6, 2, 6, 4, 4, 4, 6, 5, 4, 2, 4, 5, 6, 3, 6, 4, 6, 3, 2, 6, 4, 4, 5, 2, 4, 4, 6, 6]","[0, 0, 1, 2, 5, 1, 5, 3, 3, 3, 5, 4, 3, 1, 3, 4, 5, 2, 5, 3, 5, 2, 1, 5, 3, 3, 4, 1, 3, 3, 5, 5]","[1, 1, 2, 3, 5, 2, 5, 4, 4, 4, 5, 5, 4, 2, 4, 5, 5, 3, 5, 4, 5, 3, 2, 5, 4, 4, 5, 2, 4, 4, 5, 5]",128,32,26,False,1
T4_D16,113,3.6571,"[1, 1, 5, 5, 4, 2, 3, 4, 3, 3, 3, 1, 6, 2, 6, 3, 4, 3, 5, 6, 2, 6, 5, 5, 6, 4, 2, 4, 4, 4, 4, 2, 3, 3, 4]","[0, 0, 4, 4, 3, 1, 2, 3, 2, 2, 2, 0, 5, 1, 5, 2, 3, 2, 4, 5, 1, 5, 4, 4, 5, 3, 1, 3, 3, 3, 3, 1, 2, 2, 3]","[1, 1, 5, 5, 4, 2, 3, 4, 3, 3, 3, 1, 5, 2, 5, 3, 4, 3, 5, 5, 2, 5, 5, 5, 5, 4, 2, 4, 4, 4, 4, 2, 3, 3, 4]",128,35,26,False,21
