window,start,end,n_pred,sum_nll,mean_nll
99,202752,204800,2047,2899.06201171875,1.41624915599823
100,204800,206848,2047,3531.419677734375,1.7251683473587036
101,206848,208896,2047,3653.58154296875,1.7848469018936157
102,208896,210944,2047,3667.8486328125,1.7918165922164917
103,210944,212992,2047,3918.4931640625,1.9142614603042603
104,212992,215040,2047,4874.95556640625,2.38151216506958
105,215040,217088,2047,4596.1689453125,2.245319366455078
106,217088,219136,2047,4264.24462890625,2.083167791366577
107,219136,221184,2047,4188.99560546875,2.0464072227478027
108,221184,223232,2047,4539.873046875,2.217817783355713
109,223232,225280,2047,4277.4521484375,2.0896201133728027
110,225280,227328,2047,3854.11376953125,1.8828108310699463
111,227328,229376,2047,3809.2880859375,1.860912561416626
112,229376,231424,2047,3605.05712890625,1.7611417770385742
113,231424,233472,2047,3838.051025390625,1.8749638795852661
114,233472,235520,2047,2758.266357421875,1.3474676609039307
115,235520,237568,2047,3334.0859375,1.6287668943405151
116,237568,239616,2047,3739.4619140625,1.8268011808395386
117,239616,241664,2047,3530.049072265625,1.7244988679885864
118,241664,243712,2047,3348.86181640625,1.635985255241394
119,243712,245760,2047,3646.70849609375,1.7814892530441284
120,245760,247808,2047,3324.120849609375,1.6238987445831299
121,247808,249856,2047,3565.8251953125,1.7419761419296265
122,249856,251904,2047,3560.58447265625,1.7394160032272339
123,251904,253952,2047,3124.87353515625,1.5265625715255737
124,253952,256000,2047,3065.0322265625,1.4973288774490356
125,256000,258048,2047,2916.00439453125,1.4245258569717407
126,258048,260096,2047,2920.36376953125,1.4266555309295654
127,260096,262144,2047,3089.82958984375,1.509442925453186
128,262144,264192,2047,3140.354248046875,1.5341252088546753
129,264192,266240,2047,3449.0712890625,1.6849396228790283
130,266240,268288,2047,3763.267578125,1.838430643081665
131,268288,270336,2047,3638.973388671875,1.7777105569839478
132,270336,272384,2047,3739.216064453125,1.8266810178756714
133,272384,274432,2047,3849.482421875,1.880548357963562
134,274432,276480,2047,2931.41748046875,1.4320554733276367
135,276480,278528,2047,3571.91259765625,1.7449499368667603
136,278528,280576,2047,3559.77587890625,1.7390209436416626
137,280576,282624,2047,3719.322265625,1.816962480545044
138,282624,284672,2047,3250.622802734375,1.5879935026168823
139,284672,286720,2047,3126.244873046875,1.5272325277328491
140,286720,288768,2047,3107.11083984375,1.5178850889205933
141,288768,290816,2047,3366.681884765625,1.644690752029419
142,290816,292864,2047,3013.966796875,1.4723824262619019
143,292864,294912,2047,3837.28515625,1.8745896816253662
144,294912,296960,2047,3260.154541015625,1.5926499366760254
145,296960,299008,2047,3461.152099609375,1.6908413171768188
146,299008,301056,2047,3147.89306640625,1.5378080606460571
147,301056,303104,2047,3205.689453125,1.5660427808761597
148,303104,305152,2047,2963.674072265625,1.4478133916854858
149,305152,307200,2047,3771.0791015625,1.8422467708587646
150,307200,309248,2047,3203.0380859375,1.5647474527359009
151,309248,311296,2047,3408.2802734375,1.6650123596191406
152,311296,313344,2047,3413.64599609375,1.6676336526870728
153,313344,315392,2047,3949.04345703125,1.9291858673095703
154,315392,317440,2047,3308.743408203125,1.6163866519927979
155,317440,319488,2047,3432.29443359375,1.676743745803833
156,319488,321536,2047,2899.119140625,1.4162770509719849
157,321536,323584,2047,2103.0029296875,1.0273585319519043
158,323584,325632,2047,3729.336669921875,1.8218547105789185
159,325632,327680,2047,3927.09521484375,1.9184637069702148
160,327680,329728,2047,4247.78955078125,2.075129270553589
161,329728,331776,2047,3515.330078125,1.7173082828521729
162,331776,333824,2047,3328.005126953125,1.6257963180541992
163,333824,335872,2047,3672.44580078125,1.7940623760223389
164,335872,337920,2047,3507.765625,1.7136129140853882
165,337920,339968,2047,4133.76171875,2.0194244384765625
