window,start,end,n_pred,sum_nll,mean_nll
147,301056,303104,2047,3724.738525390625,1.819608449935913
148,303104,305152,2047,3403.69677734375,1.6627732515335083
149,305152,307200,2047,4245.48388671875,2.074002981185913
150,307200,309248,2047,3751.6103515625,1.8327358961105347
151,309248,311296,2047,3838.75732421875,1.875308871269226
152,311296,313344,2047,3872.971435546875,1.8920232057571411
153,313344,315392,2047,4527.384765625,2.211717128753662
154,315392,317440,2047,3846.52197265625,1.879102110862732
155,317440,319488,2047,3958.138916015625,1.9336291551589966
156,319488,321536,2047,3307.553955078125,1.6158055067062378
157,321536,323584,2047,2459.89404296875,1.201706886291504
158,323584,325632,2047,4194.6318359375,2.0491607189178467
159,325632,327680,2047,4366.60791015625,2.133174419403076
160,327680,329728,2047,4732.4580078125,2.311899423599243
161,329728,331776,2047,3986.31005859375,1.947391390800476
162,331776,333824,2047,3794.883544921875,1.8538756370544434
163,333824,335872,2047,4157.92333984375,2.0312278270721436
164,335872,337920,2047,4017.881591796875,1.9628146886825562
165,337920,339968,2047,4643.96337890625,2.2686679363250732
