tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_80,"[3, 4, 4, 4, 4, 2, 6, 4, 4, 6, 4, 4, 2, 5, 4, 3, 3, 3, 2, 2, 2, 6, 4, 5, 6, 4, 3, 6, 4, 3, 3, 5, 5]",33,4.143
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_83,"[1, 4, 3, 4, 2, 4, 3, 5, 2, 5, 4, 6, 4, 6, 4, 3, 6, 4, 5, 2, 5, 2, 4, 4, 3, 5, 4, 5, 5, 1, 2, 3, 2, 4, 4]",35,4.409
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_84,"[4, 5, 3, 2, 2, 2, 4, 6, 3, 2, 2, 4, 4, 3, 5, 6, 6, 6, 6, 3, 4, 6, 6, 6, 2, 6, 2, 6, 6, 6]",30,3.843
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_86,"[6, 5, 6, 3, 5, 4, 6, 6, 6, 4, 4, 3, 5, 4, 5, 2, 2, 6, 6, 3, 3, 4, 4, 5, 6, 1, 3, 4, 2, 6]",30,3.857
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_90,"[1, 4, 6, 3, 4, 2, 5, 3, 3, 4, 4, 6, 2, 2, 2, 5, 6, 3, 2, 4, 4, 4, 6, 6, 2, 4, 4, 3, 2, 6, 5, 3, 5, 1, 4]",35,4.498
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_91,"[6, 6, 4, 2, 2, 4, 3, 2, 4, 3, 4, 2, 3, 1, 3, 2, 3, 3, 4, 4, 4, 5, 5, 2, 2, 3, 2, 3, 2, 3, 4, 1, 1, 2, 5, 1, 2, 3, 4, 6, 2, 3]",42,5.255
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_93,"[4, 4, 3, 3, 6, 3, 2, 4, 3, 4, 4, 4, 5, 2, 4, 5, 4, 6, 2, 3, 4, 3, 4, 1, 1, 2, 4, 2, 2, 4, 6, 3, 2, 2, 4, 6, 4]",37,4.592
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_95,"[6, 5, 4, 3, 2, 1, 2, 6, 3, 3, 3, 6, 1, 1, 2, 3, 4, 4, 3, 3, 4, 1, 4, 3, 5, 2, 3, 2, 5, 1, 1, 2, 2, 1, 4, 3, 3, 4, 3, 2, 2, 4, 1, 3]",44,5.462
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_96,"[6, 2, 6, 4, 1, 3, 3, 4, 3, 1, 4, 5, 4, 4, 3, 4, 1, 4, 3, 5, 2, 3, 3, 3, 1, 5, 2, 3, 6, 3, 2, 2, 3, 4, 1, 3, 3, 3, 3, 6]",40,5.095
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_99,"[3, 3, 4, 4, 2, 3, 4, 4, 6, 4, 1, 6, 6, 2, 4, 1, 2, 4, 1, 2, 6, 2, 2, 2, 4, 3, 4, 6, 4, 3, 4, 4, 4, 1, 5, 3, 3, 5]",38,6.002
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_105,"[1, 3, 2, 2, 1, 1, 2, 2, 1, 2, 3, 2, 4, 2, 2, 2, 1, 3, 2, 3, 1, 4, 1, 4, 2, 2, 3, 2, 1, 1, 1, 5, 2, 4, 1, 1, 1, 4, 2, 2, 5, 1, 5, 1, 4, 2, 1, 1, 3, 1, 1, 2, 2, 3, 3, 5, 2, 2]",58,10.099
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_106,"[6, 5, 1, 2, 4, 3, 3, 4, 5, 3, 4, 4, 6, 3, 2, 2, 1, 2, 1, 2, 4, 4, 3, 2, 2, 1, 4, 4, 3, 5, 3, 1, 2, 1, 3, 4, 2, 4, 4, 4, 6]",41,7.112
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_108,"[6, 5, 6, 3, 5, 3, 1, 4, 1, 3, 1, 6, 4, 5, 3, 4, 1, 2, 2, 2, 4, 4, 3, 3, 2, 4, 2, 2, 4, 3, 3, 4, 3, 4, 3, 4, 6, 2]",38,6.571
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_110,"[6, 3, 3, 5, 3, 3, 2, 6, 5, 5, 6, 1, 3, 4, 3, 6, 5, 6, 3, 5, 4, 3, 2, 6, 5, 5, 4, 5, 6, 3, 3]",31,5.375
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_111,"[6, 5, 3, 3, 2, 3, 4, 4, 4, 3, 2, 4, 3, 4, 2, 4, 3, 2, 3, 2, 3, 3, 5, 3, 5, 4, 6, 3, 3, 6, 4, 4, 4, 6, 4]",35,6.047
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_113,"[3, 4, 3, 1, 3, 6, 6, 4, 4, 4, 5, 4, 6, 4, 3, 2, 4, 4, 2, 3, 4, 4, 5, 5, 4, 4, 3, 2, 5, 2, 2, 3, 3, 4, 4]",35,5.596
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_114,"[3, 6, 3, 3, 3, 4, 6, 4, 6, 4, 4, 4, 6, 6, 6, 3, 2, 2, 6, 4, 3, 2, 4, 3, 4, 6, 1, 6, 4, 4, 6]",31,4.128
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_116,"[5, 3, 3, 1, 6, 1, 2, 3, 3, 6, 3, 1, 3, 2, 5, 3, 3, 6, 5, 4, 4, 3, 1, 4, 3, 4, 1, 3, 2, 2, 4, 2, 6, 3, 3, 2, 2, 6, 3, 4]",40,5.241
