basis,rank,channel,branch,channel_in_branch,act_rms,w_col_norm,contrib
rotated,19,1542,0,1542,1.348973035812378,10.591684341430664,14.28789658042615
rotated,20,1580,0,1580,1.5018993616104126,9.495708465576172,14.261598482487443
rotated,21,3224,0,3224,1.3127659559249878,10.847180366516113,14.239809102940285
rotated,22,610,0,610,1.691233515739441,8.418354034423828,14.237402490377917
rotated,23,919,0,919,1.5789119005203247,8.874445915222168,14.011968266068266
rotated,24,2436,0,2436,1.523087501525879,9.190314292907715,13.997652834622386
rotated,25,2926,0,2926,1.6266226768493652,8.589821815490723,13.972398955172594
rotated,26,235,0,235,1.609903335571289,8.668603897094727,13.955614328679076
rotated,27,1321,0,1321,1.396824598312378,9.927712440490723,13.86727294184925
rotated,28,2781,0,2781,1.5095744132995605,9.150246620178223,13.812978173201827
rotated,29,2149,0,2149,1.6075440645217896,8.524599075317383,13.703668645954394
rotated,30,3064,0,3064,1.4264631271362305,9.602884292602539,13.698160357553206
rotated,31,10346,2,2154,1.8571016788482666,7.352942943572998,13.65516268498493
rotated,32,3671,0,3671,1.3298207521438599,10.193375587463379,13.55536239060541
rotated,33,1361,0,1361,1.5238722562789917,8.895288467407227,13.555283307080344
rotated,34,10142,2,1950,1.8263837099075317,7.416497707366943,13.545370597301542
rotated,35,2521,0,2521,1.693619728088379,7.9934258460998535,13.537823707966254
rotated,36,1638,0,1638,1.3876694440841675,9.67737102508545,13.428992070576555
rotated,37,4052,0,4052,1.599129319190979,8.388822555541992,13.414812102057795
rotated,38,4095,0,4095,1.526913046836853,8.75497055053711,13.368078758287538
rotated,39,1892,0,1892,1.4258403778076172,9.372580528259277,13.363803761445524
rotated,40,3642,0,3642,1.481813669204712,8.969072341918945,13.29049399634141
rotated,41,2291,0,2291,1.358276605606079,9.775146484375,13.277352786099073
rotated,42,2986,0,2986,1.3588811159133911,9.766592025756836,13.271637470631276
rotated,43,2980,0,2980,1.3689101934432983,9.692619323730469,13.268325393420128
rotated,44,2520,0,2520,1.6359490156173706,8.103948593139648,13.257646723560583
rotated,45,3365,0,3365,1.4162484407424927,9.335552215576172,13.221461268779876
rotated,46,2076,0,2076,1.4163193702697754,9.321534156799316,13.20226938690621
rotated,47,1848,0,1848,1.138807773590088,11.592833518981934,13.20200892935236
rotated,48,816,0,816,1.4627938270568848,9.01341724395752,13.184771105149139
rotated,49,1637,0,1637,1.397153377532959,9.41733455657959,13.157460783083025
rotated,50,2290,0,2290,1.5403881072998047,8.531015396118164,13.141074659371952
rotated,51,3401,0,3401,1.3022799491882324,10.077962875366211,13.124328981252802
rotated,52,8250,2,58,1.7089061737060547,7.5738701820373535,12.943033512931834
rotated,53,934,0,934,1.377654790878296,9.390446662902832,12.936793833635193
rotated,54,184,0,184,1.3394335508346558,9.654644012451172,12.931754111642022
rotated,55,2829,0,2829,1.4645346403121948,8.80831241607666,12.900078656036271
rotated,56,1856,0,1856,1.4141844511032104,9.119510650634766,12.896670163797808
rotated,57,8802,2,610,1.7069350481033325,7.533993244171143,12.860037120649451
rotated,58,3977,0,3977,1.3682246208190918,9.39201831817627,12.85039070211269
rotated,59,2537,0,2537,1.3971389532089233,9.135698318481445,12.763839985515688
rotated,60,11118,2,2926,1.6374623775482178,7.74268913269043,12.67836215583202
rotated,61,9992,2,1800,1.68661367893219,7.503042221069336,12.654733643661302
rotated,62,3087,0,3087,1.3966190814971924,9.0513277053833,12.641256986222515
rotated,63,9219,2,1027,1.6398160457611084,7.701706886291504,12.629382531889632
