cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T8_D16,91,2.9091,"[1, 4, 3, 4, 3, 1, 4, 6, 4, 4, 5, 2, 2, 1, 2, 3, 2, 4, 2, 2, 2, 3]","[0, 3, 2, 3, 2, 0, 3, 5, 3, 3, 4, 1, 1, 0, 1, 2, 1, 3, 1, 1, 1, 2]","[1, 4, 3, 4, 3, 1, 4, 5, 4, 4, 5, 2, 2, 1, 2, 3, 2, 4, 2, 2, 2, 3]",64,22,26,False,31
T8_D16,92,2.7826,"[3, 3, 3, 3, 3, 3, 2, 4, 6, 2, 1, 1, 4, 4, 1, 3, 2, 3, 2, 1, 4, 4, 2]","[2, 2, 2, 2, 2, 2, 1, 3, 5, 1, 0, 0, 3, 3, 0, 2, 1, 2, 1, 0, 3, 3, 1]","[3, 3, 3, 3, 3, 3, 2, 4, 5, 2, 1, 1, 4, 4, 1, 3, 2, 3, 2, 1, 4, 4, 2]",64,23,26,False,53
T8_D16,93,4.125,"[6, 6, 3, 3, 4, 4, 6, 2, 4, 5, 4, 4, 4, 4, 2, 5]","[5, 5, 2, 2, 3, 3, 5, 1, 3, 4, 3, 3, 3, 3, 1, 4]","[5, 5, 3, 3, 4, 4, 5, 2, 4, 5, 4, 4, 4, 4, 2, 5]",64,16,26,True,-1
T8_D16,94,3.2353,"[6, 5, 1, 2, 5, 6, 4, 4, 2, 2, 2, 3, 2, 2, 3, 4, 2]","[5, 4, 0, 1, 4, 5, 3, 3, 1, 1, 1, 2, 1, 1, 2, 3, 1]","[5, 5, 1, 2, 5, 5, 4, 4, 2, 2, 2, 3, 2, 2, 3, 4, 2]",55,17,26,True,-1
T8_D16,95,2.7083,"[5, 6, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 2, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 6]","[4, 5, 1, 2, 1, 1, 2, 3, 3, 1, 1, 1, 1, 0, 0, 2, 1, 2, 1, 1, 1, 1, 1, 5]","[5, 5, 2, 3, 2, 2, 3, 4, 4, 2, 2, 2, 2, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 5]",64,24,26,True,-1
T8_D16,96,4.0,"[1, 3, 5, 4, 3, 4, 6, 4, 2, 5, 4, 6, 3, 4, 4, 6]","[0, 2, 4, 3, 2, 3, 5, 3, 1, 4, 3, 5, 2, 3, 3, 5]","[1, 3, 5, 4, 3, 4, 5, 4, 2, 5, 4, 5, 3, 4, 4, 5]",64,16,26,True,-1
T8_D16,97,3.8333,"[4, 6, 3, 2, 6, 4, 2, 2, 6, 6, 2, 3, 4, 4, 4, 4, 1, 6]","[3, 5, 2, 1, 5, 3, 1, 1, 5, 5, 1, 2, 3, 3, 3, 3, 0, 5]","[4, 5, 3, 2, 5, 4, 2, 2, 5, 5, 2, 3, 4, 4, 4, 4, 1, 5]",64,18,26,True,-1
T8_D16,98,2.5385,"[3, 2, 1, 3, 2, 3, 2, 2, 3, 2, 1, 3, 2, 4, 6, 1, 1, 2, 5, 3, 3, 5, 1, 1, 2, 3]","[2, 1, 0, 2, 1, 2, 1, 1, 2, 1, 0, 2, 1, 3, 5, 0, 0, 1, 4, 2, 2, 4, 0, 0, 1, 2]","[3, 2, 1, 3, 2, 3, 2, 2, 3, 2, 1, 3, 2, 4, 5, 1, 1, 2, 5, 3, 3, 5, 1, 1, 2, 3]",64,26,26,False,59
T8_D16,99,3.7647,"[1, 2, 3, 4, 4, 3, 2, 6, 6, 4, 5, 4, 6, 5, 5, 2, 2]","[0, 1, 2, 3, 3, 2, 1, 5, 5, 3, 4, 3, 5, 4, 4, 1, 1]","[1, 2, 3, 4, 4, 3, 2, 5, 5, 4, 5, 4, 5, 5, 5, 2, 2]",64,17,26,False,33
T8_D16,100,2.7826,"[3, 1, 2, 2, 4, 3, 3, 4, 2, 2, 1, 3, 2, 4, 3, 1, 3, 5, 3, 5, 1, 3, 4]","[2, 0, 1, 1, 3, 2, 2, 3, 1, 1, 0, 2, 1, 3, 2, 0, 2, 4, 2, 4, 0, 2, 3]","[3, 1, 2, 2, 4, 3, 3, 4, 2, 2, 1, 3, 2, 4, 3, 1, 3, 5, 3, 5, 1, 3, 4]",64,23,26,True,-1
T8_D8,81,3.4737,"[3, 4, 3, 4, 6, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 3, 4, 1, 3]","[2, 3, 2, 3, 5, 4, 4, 3, 3, 2, 1, 3, 3, 0, 2, 2, 3, 0, 2]","[3, 4, 3, 4, 5, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 3, 4, 1, 3]",64,19,26,False,20
