ds,prompt,cycle_prefix,layer,arm,K_ctx_nmse,V_ctx_nmse,score_nmse,softmax_kl_mean,softmax_tv_mean,top1_agree,attention_dtype
mtbench,1,82,3,rc1,0.008464382961392403,0.02319539152085781,0.001996223581954837,0.03813374787569046,0.08327101171016693,0.90625,bf16 (all arms)
mtbench,1,82,4,w4a4,0.11446326971054077,0.3668821156024933,0.014052044600248337,0.2996327579021454,0.29036447405815125,0.5562500357627869,bf16 (all arms)
mtbench,1,82,4,rc1,0.008313463069498539,0.033229947090148926,0.0018398993415758014,0.030119819566607475,0.08308478444814682,0.846875011920929,bf16 (all arms)
mtbench,1,86,0,w4a4,0.15402546525001526,0.24520598351955414,0.1394418179988861,0.23379050195217133,0.2430228292942047,0.53125,bf16 (all arms)
mtbench,1,86,0,rc1,0.010270372033119202,0.019586622714996338,0.01336832344532013,0.027149025350809097,0.0840185210108757,0.8218750357627869,bf16 (all arms)
mtbench,1,86,1,w4a4,0.09536301344633102,0.295218288898468,0.056300025433301926,0.23715654015541077,0.22010760009288788,0.6812500357627869,bf16 (all arms)
mtbench,1,86,1,rc1,0.00504921143874526,0.02460595779120922,0.02855405956506729,0.14359846711158752,0.12918797135353088,0.8218750357627869,bf16 (all arms)
mtbench,1,86,2,w4a4,0.1407259851694107,0.24431714415550232,0.023621805012226105,0.15988636016845703,0.2039717435836792,0.59375,bf16 (all arms)
mtbench,1,86,2,rc1,0.010155118070542812,0.020227549597620964,0.0022894570138305426,0.05980563163757324,0.11759646981954575,0.7593750357627869,bf16 (all arms)
mtbench,1,86,3,w4a4,0.11775210499763489,0.2703973948955536,0.018808072432875633,0.2076467126607895,0.2185479700565338,0.6781250238418579,bf16 (all arms)
mtbench,1,86,3,rc1,0.008522555232048035,0.02326367236673832,0.0034365812316536903,0.03807441145181656,0.07378198206424713,0.8968750238418579,bf16 (all arms)
mtbench,1,86,4,w4a4,0.11583255976438522,0.36963024735450745,0.018326640129089355,0.27535268664360046,0.26242610812187195,0.671875,bf16 (all arms)
mtbench,1,86,4,rc1,0.008326848968863487,0.0331275537610054,0.0025463372003287077,0.023810382932424545,0.07373141497373581,0.8812500238418579,bf16 (all arms)
mtbench,1,264,0,w4a4,0.19093385338783264,0.26724469661712646,0.215147465467453,0.39240074157714844,0.3226359486579895,0.4312500059604645,bf16 (all arms)
mtbench,1,264,0,rc1,0.011621369980275631,0.019062602892518044,0.013399486429989338,0.028615860268473625,0.08973336219787598,0.753125011920929,bf16 (all arms)
mtbench,1,264,1,w4a4,0.06638234108686447,0.2995406985282898,0.053907498717308044,0.22901324927806854,0.2112511247396469,0.737500011920929,bf16 (all arms)
mtbench,1,264,1,rc1,0.0032908536959439516,0.02216271124780178,0.017081759870052338,0.10548102855682373,0.11757427453994751,0.8687500357627869,bf16 (all arms)
mtbench,1,264,2,w4a4,0.15018591284751892,0.2594825029373169,0.033950574696063995,0.20089928805828094,0.21846623718738556,0.559374988079071,bf16 (all arms)
mtbench,1,264,2,rc1,0.00924818404018879,0.018889984115958214,0.0020191099029034376,0.05885448679327965,0.12270160019397736,0.7250000238418579,bf16 (all arms)
mtbench,1,264,3,w4a4,0.14803080260753632,0.3149994909763336,0.032767631113529205,0.25844112038612366,0.2617931067943573,0.574999988079071,bf16 (all arms)
mtbench,1,264,3,rc1,0.009172522462904453,0.02503548562526703,0.0022716717794537544,0.06861665844917297,0.09952671080827713,0.878125011920929,bf16 (all arms)
mtbench,1,264,4,w4a4,0.1436615139245987,0.40166863799095154,0.024694282561540604,0.3199236989021301,0.29230543971061707,0.5218750238418579,bf16 (all arms)
mtbench,1,264,4,rc1,0.00895298458635807,0.03266511857509613,0.0022003480698913336,0.022528691217303276,0.07363592833280563,0.893750011920929,bf16 (all arms)
mtbench,1,267,0,w4a4,0.19057373702526093,0.26661330461502075,0.22031572461128235,0.4004000127315521,0.32630762457847595,0.40625,bf16 (all arms)
mtbench,1,267,0,rc1,0.011650706641376019,0.019118724390864372,0.014460206963121891,0.02983216755092144,0.09306276589632034,0.765625,bf16 (all arms)
mtbench,1,267,1,w4a4,0.06600634008646011,0.29901444911956787,0.052581001073122025,0.15422838926315308,0.18079379200935364,0.7875000238418579,bf16 (all arms)
mtbench,1,267,1,rc1,0.003279270138591528,0.022221993654966354,0.017579631879925728,0.09299000352621078,0.1127166748046875,0.8531250357627869,bf16 (all arms)
mtbench,1,267,2,w4a4,0.14976561069488525,0.2584129869937897,0.034483570605516434,0.15975379943847656,0.20262201130390167,0.6031250357627869,bf16 (all arms)
mtbench,1,267,2,rc1,0.009244697168469429,0.018873270601034164,0.001948835328221321,0.04438013955950737,0.10845626890659332,0.721875011920929,bf16 (all arms)
mtbench,1,267,3,w4a4,0.14746911823749542,0.31242895126342773,0.03665567934513092,0.26531893014907837,0.26479753851890564,0.6781250238418579,bf16 (all arms)
mtbench,1,267,3,rc1,0.009164653718471527,0.024909868836402893,0.0020610324572771788,0.0327807255089283,0.08004691451787949,0.9125000238418579,bf16 (all arms)
mtbench,1,267,4,w4a4,0.14322812855243683,0.39945414662361145,0.02336198277771473,0.3143620193004608,0.29203924536705017,0.53125,bf16 (all arms)
mtbench,1,267,4,rc1,0.008946188725531101,0.032599132508039474,0.001768183195963502,0.029972661286592484,0.0803580954670906,0.8656250238418579,bf16 (all arms)
mtbench,2,91,0,w4a4,0.14985153079032898,0.2449285238981247,0.1074937954545021,0.21401576697826385,0.22886446118354797,0.546875,bf16 (all arms)
mtbench,2,91,0,rc1,0.01000989880412817,0.018905658274888992,0.009375058114528656,0.024795904755592346,0.0811363160610199,0.796875,bf16 (all arms)
mtbench,2,91,1,w4a4,0.09053312987089157,0.2976105809211731,0.0722782164812088,0.3141424357891083,0.22170881927013397,0.75,bf16 (all arms)
mtbench,2,91,1,rc1,0.004878907464444637,0.024020280689001083,0.04654901847243309,0.21095018088817596,0.14090758562088013,0.840624988079071,bf16 (all arms)
mtbench,2,91,2,w4a4,0.13632100820541382,0.25034600496292114,0.01458691619336605,0.19367150962352753,0.23127149045467377,0.390625,bf16 (all arms)
mtbench,2,91,2,rc1,0.009828668087720871,0.019910302013158798,0.0013305802131071687,0.06865288317203522,0.13313575088977814,0.609375,bf16 (all arms)
mtbench,2,91,3,w4a4,0.11466741561889648,0.28547191619873047,0.014854632318019867,0.301439493894577,0.26966074109077454,0.47187501192092896,bf16 (all arms)
mtbench,2,91,3,rc1,0.008188948035240173,0.02411319874227047,0.002297045662999153,0.034463830292224884,0.08175229281187057,0.890625,bf16 (all arms)
mtbench,2,91,4,w4a4,0.11507226526737213,0.3789423704147339,0.01678580231964588,0.2768707275390625,0.2667620778083801,0.6000000238418579,bf16 (all arms)
mtbench,2,91,4,rc1,0.008114130236208439,0.032809898257255554,0.002082894556224346,0.024535128846764565,0.07722385972738266,0.875,bf16 (all arms)
mtbench,2,93,0,w4a4,0.1510189324617386,0.24683694541454315,0.11445270478725433,0.2247634381055832,0.23626534640789032,0.5718750357627869,bf16 (all arms)
