view,out_bin,in_bin,bin_rms
stock,2,44,0.11765903234481812
stock,2,45,0.11649548262357712
stock,2,46,0.1169789731502533
stock,2,47,0.1167042925953865
stock,2,48,0.0755559653043747
stock,2,49,0.07480701804161072
stock,2,50,0.07669898867607117
stock,2,51,0.07638513296842575
stock,2,52,0.07610010355710983
stock,2,53,0.07650118321180344
stock,2,54,0.07575621455907822
stock,2,55,0.07688148319721222
stock,2,56,0.0762832760810852
stock,2,57,0.07548830658197403
stock,2,58,0.07550938427448273
stock,2,59,0.07598694413900375
stock,2,60,0.07588569819927216
stock,2,61,0.07652158290147781
stock,2,62,0.07599059492349625
stock,2,63,0.07561825215816498
stock,2,64,0.06114082410931587
stock,2,65,0.06161746382713318
stock,2,66,0.0594811849296093
stock,2,67,0.060772839933633804
stock,2,68,0.060505595058202744
stock,2,69,0.06003972142934799
stock,2,70,0.06055062636733055
stock,2,71,0.059797655791044235
stock,2,72,0.06095712259411812
stock,2,73,0.06052808091044426
stock,2,74,0.05969976633787155
stock,2,75,0.06022900715470314
stock,2,76,0.06083798035979271
stock,2,77,0.06034475564956665
stock,2,78,0.060636188834905624
stock,2,79,0.059973835945129395
stock,3,0,0.1400899738073349
stock,3,1,0.14112433791160583
stock,3,2,0.13847607374191284
stock,3,3,0.143639475107193
stock,3,4,0.14242245256900787
stock,3,5,0.13751810789108276
stock,3,6,0.14144249260425568
stock,3,7,0.14045259356498718
stock,3,8,0.1427306830883026
stock,3,9,0.150889053940773
stock,3,10,0.14009244740009308
stock,3,11,0.1381954699754715
stock,3,12,0.1451359987258911
stock,3,13,0.13991281390190125
stock,3,14,0.1388694792985916
stock,3,15,0.13814198970794678
stock,3,16,0.09843640774488449
stock,3,17,0.09942478686571121
stock,3,18,0.09681904315948486
stock,3,19,0.09834035485982895
stock,3,20,0.09765133261680603
stock,3,21,0.09876552224159241
stock,3,22,0.09896481037139893
stock,3,23,0.09997706115245819
stock,3,24,0.09819618612527847
stock,3,25,0.09810671210289001
stock,3,26,0.09746771305799484
stock,3,27,0.0988822728395462
stock,3,28,0.09836417436599731
stock,3,29,0.09904370456933975
stock,3,30,0.0996064618229866
stock,3,31,0.09850473701953888
stock,3,32,0.11793988943099976
stock,3,33,0.11816000938415527
stock,3,34,0.11756804585456848
stock,3,35,0.11902729421854019
stock,3,36,0.11800092458724976
stock,3,37,0.1167631670832634
stock,3,38,0.11851207166910172
stock,3,39,0.1178271695971489
stock,3,40,0.11835557222366333
stock,3,41,0.11821465194225311
stock,3,42,0.11795303970575333
stock,3,43,0.11843245476484299
stock,3,44,0.1194753423333168
stock,3,45,0.1182921901345253
stock,3,46,0.11816694587469101
stock,3,47,0.11809366941452026
stock,3,48,0.0765826404094696
stock,3,49,0.07552804797887802
stock,3,50,0.07712505757808685
stock,3,51,0.07719403505325317
stock,3,52,0.07670678943395615
stock,3,53,0.07617984712123871
stock,3,54,0.07583081722259521
stock,3,55,0.07662134617567062
stock,3,56,0.07662893086671829
stock,3,57,0.07685654610395432
stock,3,58,0.0764172300696373
stock,3,59,0.07590025663375854
stock,3,60,0.07670917361974716
stock,3,61,0.07733681052923203
stock,3,62,0.07667150348424911
stock,3,63,0.07633385807275772
stock,3,64,0.06149759516119957
stock,3,65,0.06128450483083725
stock,3,66,0.05966673046350479
stock,3,67,0.06084858998656273
stock,3,68,0.06166992336511612
stock,3,69,0.0605732686817646
stock,3,70,0.060135696083307266
stock,3,71,0.06028563156723976
stock,3,72,0.061494942754507065
stock,3,73,0.061403945088386536
stock,3,74,0.06048104166984558
stock,3,75,0.06025215610861778
stock,3,76,0.061288196593523026
stock,3,77,0.061002373695373535
stock,3,78,0.060639750212430954
stock,3,79,0.06104933097958565
stock,4,0,0.14034900069236755
stock,4,1,0.141263946890831
stock,4,2,0.1404624730348587
stock,4,3,0.14398352801799774
stock,4,4,0.1414177268743515
stock,4,5,0.13782329857349396
stock,4,6,0.1416456401348114
stock,4,7,0.1413360834121704
stock,4,8,0.14110863208770752
stock,4,9,0.1510269194841385
stock,4,10,0.13929778337478638
stock,4,11,0.1382601410150528
stock,4,12,0.14559654891490936
stock,4,13,0.14049579203128815
stock,4,14,0.13807761669158936
stock,4,15,0.1367175430059433
stock,4,16,0.09783465415239334
stock,4,17,0.09922085702419281
stock,4,18,0.09799651801586151
stock,4,19,0.09912228584289551
stock,4,20,0.09802848100662231
stock,4,21,0.09845889359712601
stock,4,22,0.09956849366426468
stock,4,23,0.0991407185792923
stock,4,24,0.09842126071453094
stock,4,25,0.09917160868644714
stock,4,26,0.09768127650022507
stock,4,27,0.09785176068544388
stock,4,28,0.09860743582248688
stock,4,29,0.10043612867593765
stock,4,30,0.10037226974964142
stock,4,31,0.09835860878229141
stock,4,32,0.11892435699701309
stock,4,33,0.11956842243671417
stock,4,34,0.11685818433761597
stock,4,35,0.1193620041012764
stock,4,36,0.11901655048131943
stock,4,37,0.11715361475944519
stock,4,38,0.11818526685237885
stock,4,39,0.11755263060331345
stock,4,40,0.11854495853185654
stock,4,41,0.11860832571983337
stock,4,42,0.11836060881614685
stock,4,43,0.11734326928853989
stock,4,44,0.1186058521270752
stock,4,45,0.1179976761341095
stock,4,46,0.11905907094478607
stock,4,47,0.11833802610635757
stock,4,48,0.07577366381883621
stock,4,49,0.07496701180934906
stock,4,50,0.07698792964220047
stock,4,51,0.07567939162254333
stock,4,52,0.07612583041191101
stock,4,53,0.07547514885663986
stock,4,54,0.07562638819217682
stock,4,55,0.0755537673830986
stock,4,56,0.0765511766076088
stock,4,57,0.07613512873649597
stock,4,58,0.07693847268819809
stock,4,59,0.07536831498146057
stock,4,60,0.07601311802864075
stock,4,61,0.07692985981702805
stock,4,62,0.07652778923511505
stock,4,63,0.07502156496047974
stock,4,64,0.06108248233795166
stock,4,65,0.060695189982652664
stock,4,66,0.06012032553553581
stock,4,67,0.061203379184007645
stock,4,68,0.06084306538105011
stock,4,69,0.06021667271852493
stock,4,70,0.06047428399324417
stock,4,71,0.06058811768889427
stock,4,72,0.06113023683428764
stock,4,73,0.06060212105512619
stock,4,74,0.06048402562737465
stock,4,75,0.05994601175189018
stock,4,76,0.0610228031873703
stock,4,77,0.061335042119026184
stock,4,78,0.06030118837952614
stock,4,79,0.060466524213552475
stock,5,0,0.14407050609588623
stock,5,1,0.1453980952501297
stock,5,2,0.14447513222694397
stock,5,3,0.14828166365623474
stock,5,4,0.1481981873512268
stock,5,5,0.14166702330112457
stock,5,6,0.14826220273971558
stock,5,7,0.14254111051559448
stock,5,8,0.1462569534778595
stock,5,9,0.1545429676771164
stock,5,10,0.1459004431962967
stock,5,11,0.14246247708797455
stock,5,12,0.14916592836380005
stock,5,13,0.1441182792186737
stock,5,14,0.14167891442775726
stock,5,15,0.14272813498973846
stock,5,16,0.09878852963447571
stock,5,17,0.09996367245912552
stock,5,18,0.09848032891750336
stock,5,19,0.10018385201692581
stock,5,20,0.09810607135295868
stock,5,21,0.09963192790746689
stock,5,22,0.10070522874593735
stock,5,23,0.09899371862411499
stock,5,24,0.09951481968164444
stock,5,25,0.10033287107944489
stock,5,26,0.09752752631902695
stock,5,27,0.09889683127403259
stock,5,28,0.09898803383111954
stock,5,29,0.09970039874315262
stock,5,30,0.1003480851650238
stock,5,31,0.0977986678481102
stock,5,32,0.11898968368768692
stock,5,33,0.11901392787694931
stock,5,34,0.1188044548034668
stock,5,35,0.11936520785093307
stock,5,36,0.11851327866315842
stock,5,37,0.11764133721590042
stock,5,38,0.11864221841096878
stock,5,39,0.11816681921482086
stock,5,40,0.11824119091033936
stock,5,41,0.11822641640901566
stock,5,42,0.11846651881933212
stock,5,43,0.11857371777296066
