module,official_sha,inprocess_sha,identical
model.layers.22.mlp.up_proj.module,f40f852b048d5ac5,f40f852b048d5ac5,True
model.layers.22.self_attn.k_proj,05ea8fefcbc85ec5,05ea8fefcbc85ec5,True
model.layers.22.self_attn.k_proj.module,05ea8fefcbc85ec5,05ea8fefcbc85ec5,True
model.layers.22.self_attn.o_proj,5f742f0de7c37f90,5f742f0de7c37f90,True
model.layers.22.self_attn.o_proj.module,5f742f0de7c37f90,5f742f0de7c37f90,True
model.layers.22.self_attn.q_proj,f4c515d2a2b1ac46,f4c515d2a2b1ac46,True
model.layers.22.self_attn.q_proj.module,f4c515d2a2b1ac46,f4c515d2a2b1ac46,True
model.layers.22.self_attn.v_proj,e314bad4ad8d4a35,e314bad4ad8d4a35,True
model.layers.22.self_attn.v_proj.module,e314bad4ad8d4a35,e314bad4ad8d4a35,True
model.layers.23.mlp.down_proj,d009485f46ca73a8,d009485f46ca73a8,True
model.layers.23.mlp.down_proj.module,d009485f46ca73a8,d009485f46ca73a8,True
model.layers.23.mlp.gate_proj,7812ea6ec584fe0d,7812ea6ec584fe0d,True
model.layers.23.mlp.gate_proj.module,7812ea6ec584fe0d,7812ea6ec584fe0d,True
model.layers.23.mlp.up_proj,13ad5f5a2be4a53c,13ad5f5a2be4a53c,True
model.layers.23.mlp.up_proj.module,13ad5f5a2be4a53c,13ad5f5a2be4a53c,True
model.layers.23.self_attn.k_proj,980f7d23906b9b9f,980f7d23906b9b9f,True
model.layers.23.self_attn.k_proj.module,980f7d23906b9b9f,980f7d23906b9b9f,True
model.layers.23.self_attn.o_proj,596479143811808a,596479143811808a,True
model.layers.23.self_attn.o_proj.module,596479143811808a,596479143811808a,True
model.layers.23.self_attn.q_proj,c2148cc92e017309,c2148cc92e017309,True
model.layers.23.self_attn.q_proj.module,c2148cc92e017309,c2148cc92e017309,True
model.layers.23.self_attn.v_proj,3aabdedd4a23b422,3aabdedd4a23b422,True
model.layers.23.self_attn.v_proj.module,3aabdedd4a23b422,3aabdedd4a23b422,True
model.layers.24.mlp.down_proj,a28fdc6664cb7403,a28fdc6664cb7403,True
model.layers.24.mlp.down_proj.module,a28fdc6664cb7403,a28fdc6664cb7403,True
model.layers.24.mlp.gate_proj,d8769aec51dac17e,d8769aec51dac17e,True
model.layers.24.mlp.gate_proj.module,d8769aec51dac17e,d8769aec51dac17e,True
model.layers.24.mlp.up_proj,20d364c69ea9db87,20d364c69ea9db87,True
model.layers.24.mlp.up_proj.module,20d364c69ea9db87,20d364c69ea9db87,True
model.layers.24.self_attn.k_proj,cc04dcaccce8744b,cc04dcaccce8744b,True
model.layers.24.self_attn.k_proj.module,cc04dcaccce8744b,cc04dcaccce8744b,True
model.layers.24.self_attn.o_proj,568e417b4bf222be,568e417b4bf222be,True
model.layers.24.self_attn.o_proj.module,568e417b4bf222be,568e417b4bf222be,True
model.layers.24.self_attn.q_proj,8fa75f4cf0f92462,8fa75f4cf0f92462,True
model.layers.24.self_attn.q_proj.module,8fa75f4cf0f92462,8fa75f4cf0f92462,True
model.layers.24.self_attn.v_proj,6a4f8103b20f73ac,6a4f8103b20f73ac,True
model.layers.24.self_attn.v_proj.module,6a4f8103b20f73ac,6a4f8103b20f73ac,True
model.layers.25.mlp.down_proj,69563beda5c0f272,69563beda5c0f272,True
model.layers.25.mlp.down_proj.module,69563beda5c0f272,69563beda5c0f272,True
model.layers.25.mlp.gate_proj,34cd9f24ee679274,34cd9f24ee679274,True
model.layers.25.mlp.gate_proj.module,34cd9f24ee679274,34cd9f24ee679274,True
model.layers.25.mlp.up_proj,ede35dcf63ba1fc4,ede35dcf63ba1fc4,True
model.layers.25.mlp.up_proj.module,ede35dcf63ba1fc4,ede35dcf63ba1fc4,True
model.layers.25.self_attn.k_proj,ee6ae045ae113a7f,ee6ae045ae113a7f,True
model.layers.25.self_attn.k_proj.module,ee6ae045ae113a7f,ee6ae045ae113a7f,True
model.layers.25.self_attn.o_proj,d35ac95e7b6e4029,d35ac95e7b6e4029,True
model.layers.25.self_attn.o_proj.module,d35ac95e7b6e4029,d35ac95e7b6e4029,True
model.layers.25.self_attn.q_proj,3394e58ba0a5ea53,3394e58ba0a5ea53,True
model.layers.25.self_attn.q_proj.module,3394e58ba0a5ea53,3394e58ba0a5ea53,True
model.layers.25.self_attn.v_proj,2a4247a54b109f02,2a4247a54b109f02,True
model.layers.25.self_attn.v_proj.module,2a4247a54b109f02,2a4247a54b109f02,True
model.layers.26.mlp.down_proj,c1bb9323d3efbd40,c1bb9323d3efbd40,True
model.layers.26.mlp.down_proj.module,c1bb9323d3efbd40,c1bb9323d3efbd40,True
model.layers.26.mlp.gate_proj,0753d033838ead43,0753d033838ead43,True
model.layers.26.mlp.gate_proj.module,0753d033838ead43,0753d033838ead43,True
model.layers.26.mlp.up_proj,ef73dc42cb4c6b6f,ef73dc42cb4c6b6f,True
